issue_id,project,worklog_id,person,component,component_description,time_spent,date,time
710,CIT - Global Infrastructure,28920,sblack,functional,type of work,0.016666667,3/14/17,4:16:00
711,CIT - Global Infrastructure,28913,sblack,DEN1,office,0.016666667,3/14/17,4:15:00
711,CIT - Global Infrastructure,28913,sblack,functional,type of work,0.016666667,3/14/17,4:15:00
712,CIT - Global Infrastructure,28921,sblack,EUG1,office,0.016666667,3/14/17,4:17:00
712,CIT - Global Infrastructure,28921,sblack,functional,type of work,0.016666667,3/14/17,4:17:00
713,CIT - Global Infrastructure,28910,sblack,functional,type of work,0.016666667,3/14/17,4:14:00
713,CIT - Global Infrastructure,28910,sblack,GRU1,office,0.016666667,3/14/17,4:14:00
714,CIT - Global Infrastructure,28911,sblack,functional,type of work,0.016666667,3/14/17,4:14:00
714,CIT - Global Infrastructure,28911,sblack,HAM1,office,0.016666667,3/14/17,4:14:00
715,CIT - Global Infrastructure,28929,sblack,functional,type of work,0.016666667,3/14/17,4:19:00
715,CIT - Global Infrastructure,28929,sblack,LHR2,office,0.016666667,3/14/17,4:19:00
716,CIT - Global Infrastructure,28928,sblack,functional,type of work,0.016666667,3/14/17,4:18:00
716,CIT - Global Infrastructure,28928,sblack,NYC2,office,0.016666667,3/14/17,4:18:00
717,CIT - Global Infrastructure,28935,sblack,functional,type of work,0.016666667,3/14/17,4:20:00
717,CIT - Global Infrastructure,28935,sblack,PDX1,office,0.016666667,3/14/17,4:20:00
718,CIT - Global Infrastructure,28931,sblack,functional,type of work,0.016666667,3/14/17,4:19:00
718,CIT - Global Infrastructure,28931,sblack,PHL1,office,0.016666667,3/14/17,4:19:00
719,CIT - Global Infrastructure,28915,sblack,functional,type of work,0.016666667,3/14/17,4:15:00
719,CIT - Global Infrastructure,28915,sblack,QLS1,office,0.016666667,3/14/17,4:15:00
720,CIT - Global Infrastructure,28914,sblack,functional,type of work,0.016666667,3/14/17,4:15:00
720,CIT - Global Infrastructure,28914,sblack,SEA1,office,0.016666667,3/14/17,4:15:00
721,CIT - Global Infrastructure,28930,sblack,functional,type of work,0.016666667,3/14/17,4:19:00
721,CIT - Global Infrastructure,28930,sblack,SFO1,office,0.016666667,3/14/17,4:19:00
722,CIT - Application Projects,30119,sblack,functional,type of work,1,5/17/17,7:49:00
722,CIT - Application Projects,30119,sblack,staytus,tool/service,1,5/17/17,7:49:00
722,CIT - Global Infrastructure,28919,sblack,functional,type of work,0.016666667,3/14/17,4:16:00
722,CIT - Global Infrastructure,28919,sblack,VNY1,office,0.016666667,3/14/17,4:16:00
727,CIT - Global Infrastructure,29309,tpenn,functional,type of work,1,4/11/17,9:25:00
727,CIT - Global Infrastructure,29309,tpenn,laps,tool/service,1,4/11/17,9:25:00
727,CIT - Global Infrastructure,29352,tpenn,functional,type of work,1,4/14/17,2:59:00
727,CIT - Global Infrastructure,29352,tpenn,laps,tool/service,1,4/14/17,2:59:00
727,CIT - Global Infrastructure,29375,tpenn,functional,type of work,2,4/17/17,9:05:00
727,CIT - Global Infrastructure,29375,tpenn,laps,tool/service,2,4/17/17,9:05:00
728,CIT - Global Infrastructure,29358,tpenn,functional,type of work,1,4/14/17,4:33:00
728,CIT - Global Infrastructure,29358,tpenn,laps,tool/service,1,4/14/17,4:33:00
728,CIT - Global Infrastructure,30059,tpenn,functional,type of work,2,5/15/17,8:24:00
728,CIT - Global Infrastructure,30059,tpenn,laps,tool/service,2,5/15/17,8:24:00
728,CIT - Global Infrastructure,31175,tpenn,functional,type of work,8,7/18/17,7:41:00
728,CIT - Global Infrastructure,31175,tpenn,laps,tool/service,8,7/18/17,7:41:00
729,CIT - Global Infrastructure,31183,bbennett,functional,type of work,2,7/18/17,9:53:00
729,CIT - Global Infrastructure,31183,bbennett,laps,tool/service,2,7/18/17,9:53:00
730,CIT - Application Projects,30503,sblack,corp_nas,tool/service,0.016666667,6/13/17,7:45:00
730,CIT - Application Projects,30503,sblack,dpm,tool/service,0.016666667,6/13/17,7:45:00
730,CIT - Application Projects,30503,sblack,functional,type of work,0.016666667,6/13/17,7:45:00
733,CIT - Global Infrastructure,29606,sblack,emet,tool/service,0.016666667,4/25/17,7:05:00
733,CIT - Global Infrastructure,29606,sblack,functional,type of work,0.016666667,4/25/17,7:05:00
734,CIT - Global Infrastructure,29607,smeltzer,ddpe,tool/service,2,4/25/17,7:07:00
734,CIT - Global Infrastructure,29607,smeltzer,functional,type of work,2,4/25/17,7:07:00
735,CIT - Global Infrastructure,29608,smeltzer,functional,type of work,4,4/25/17,7:10:00
735,CIT - Global Infrastructure,29608,smeltzer,ziften,tool/service,4,4/25/17,7:10:00
739,CIT - Application Projects,29243,sblack,functional,type of work,0.016666667,4/7/17,4:36:00
739,CIT - Application Projects,29243,sblack,graylog,tool/service,0.016666667,4/7/17,4:36:00
740,CIT - Application Projects,29244,sblack,check_mk,tool/service,0.016666667,4/7/17,4:36:00
740,CIT - Application Projects,29244,sblack,functional,type of work,0.016666667,4/7/17,4:36:00
741,CIT - Application Projects,29236,sblack,functional,type of work,0.016666667,4/7/17,4:35:00
741,CIT - Application Projects,29236,sblack,spotfire,tool/service,0.016666667,4/7/17,4:35:00
742,CIT - Application Projects,28838,jevans,dpm,tool/service,0.25,3/8/17,9:52:00
742,CIT - Application Projects,28838,jevans,functional,type of work,0.25,3/8/17,9:52:00
742,CIT - Application Projects,28838,jevans,infor,tool/service,0.25,3/8/17,9:52:00
742,CIT - Application Projects,28838,jevans,sql,tool/service,0.25,3/8/17,9:52:00
742,CIT - Application Projects,28838,jevans,user_management,"theme; any work done to update, delete, or change users of a system in any way",0.25,3/8/17,9:52:00
743,CIT - Application Projects,29237,sblack,functional,type of work,0.016666667,4/7/17,4:35:00
743,CIT - Application Projects,29237,sblack,talend,tool/service,0.016666667,4/7/17,4:35:00
744,CIT - Application Projects,29238,sblack,functional,type of work,0.016666667,4/7/17,4:36:00
745,CIT - Application Projects,29239,sblack,corp_portal,tool/service,0.016666667,4/7/17,4:36:00
745,CIT - Application Projects,29239,sblack,functional,type of work,0.016666667,4/7/17,4:36:00
746,CIT - Application Projects,29240,sblack,functional,type of work,0.016666667,4/7/17,4:36:00
746,CIT - Application Projects,29240,sblack,infor,tool/service,0.016666667,4/7/17,4:36:00
747,CIT - Application Projects,29241,sblack,exchange,tool/service,0.016666667,4/7/17,4:36:00
747,CIT - Application Projects,29241,sblack,functional,type of work,0.016666667,4/7/17,4:36:00
748,CIT - Application Projects,29242,sblack,functional,type of work,0.016666667,4/7/17,4:36:00
748,CIT - Application Projects,29242,sblack,staytus,tool/service,0.016666667,4/7/17,4:36:00
755,CIT - Global Infrastructure,27888,smeltzer,break/fix,type of work,0.5,1/10/17,5:27:00
755,CIT - Global Infrastructure,27888,smeltzer,monitoring,"theme; anything related to monitoring efforts, management, systems, etc.",0.5,1/10/17,5:27:00
755,CIT - Global Infrastructure,27888,smeltzer,vpn,tool/service,0.5,1/10/17,5:27:00
766,CIT - Global Infrastructure,27897,awestfall,functional,type of work,3,1/11/17,3:28:00
766,CIT - Global Infrastructure,27897,awestfall,networking,tool/service,3,1/11/17,3:28:00
766,CIT - Global Infrastructure,27897,awestfall,vpn,tool/service,3,1/11/17,3:28:00
768,CIT - Global Infrastructure,30137,sblack,dpm,tool/service,0.016666667,5/18/17,8:46:00
768,CIT - Global Infrastructure,30137,sblack,functional,type of work,0.016666667,5/18/17,8:46:00
770,CIT - Application Projects,29336,jevans,corp_nas,tool/service,3,4/13/17,3:30:00
770,CIT - Application Projects,29336,jevans,fileserver,tool/service,3,4/13/17,3:30:00
770,CIT - Application Projects,29336,jevans,functional,type of work,3,4/13/17,3:30:00
770,CIT - Global Infrastructure,30136,sblack,dpm,tool/service,0.016666667,5/18/17,8:46:00
770,CIT - Global Infrastructure,30136,sblack,functional,type of work,0.016666667,5/18/17,8:46:00
773,CIT - Global Infrastructure,28951,tpenn,functional,type of work,1,3/15/17,3:44:00
773,CIT - Global Infrastructure,28951,tpenn,laptop_management,theme; anything related to managing/securing laptops. should usually have another component as well for the specific tool/service that's being worked on.,1,3/15/17,3:44:00
773,CIT - Global Infrastructure,28951,tpenn,ziften,tool/service,1,3/15/17,3:44:00
773,CIT - Global Infrastructure,29040,tpenn,functional,type of work,1,3/23/17,5:43:00
773,CIT - Global Infrastructure,29040,tpenn,laptop_management,theme; anything related to managing/securing laptops. should usually have another component as well for the specific tool/service that's being worked on.,1,3/23/17,5:43:00
773,CIT - Global Infrastructure,29040,tpenn,ziften,tool/service,1,3/23/17,5:43:00
775,CIT - Application Projects,31264,kyang,functional,type of work,0.666666667,7/24/17,8:39:00
775,CIT - Application Projects,31264,kyang,public_wiki,"tool/service; wiki.appnexus.com, to be used in conjunction with corp_wiki if general Confluence work is being done",0.666666667,7/24/17,8:39:00
780,CIT - Global Infrastructure,28102,awestfall,functional,type of work,3,1/20/17,6:53:00
780,CIT - Global Infrastructure,28102,awestfall,hardware,tool/service,3,1/20/17,6:53:00
780,CIT - Global Infrastructure,28102,awestfall,opengear,tool/service,3,1/20/17,6:53:00
781,CIT - Application Projects,27764,scarnes,functional,type of work,1,1/3/17,4:29:00
781,CIT - Application Projects,27764,scarnes,jira,tool/service,1,1/3/17,4:29:00
781,CIT - Global Infrastructure,28650,tpenn,esxi,tool/service,0.083333333,3/3/17,9:19:00
781,CIT - Global Infrastructure,28650,tpenn,functional,type of work,0.083333333,3/3/17,9:19:00
781,CIT - Global Infrastructure,28650,tpenn,hardware,tool/service,0.083333333,3/3/17,9:19:00
782,CIT - Application Projects,28645,jevans,documentation,theme; any tickets where at least some of the work done was documentation work,1,3/3/17,7:59:00
782,CIT - Application Projects,28645,jevans,functional,type of work,1,3/3/17,7:59:00
782,CIT - Global Infrastructure,29096,tpenn,functional,type of work,3,3/28/17,8:04:00
782,CIT - Global Infrastructure,29096,tpenn,hardware,tool/service,3,3/28/17,8:04:00
785,CIT - Application Projects,30827,kyang,bitbucket,tool/service,0.016666667,6/29/17,6:42:00
785,CIT - Application Projects,30827,kyang,functional,type of work,0.016666667,6/29/17,6:42:00
787,CIT - Global Infrastructure,30044,awestfall,functional,type of work,14,5/15/17,3:17:00
787,CIT - Global Infrastructure,30044,awestfall,hardware,tool/service,14,5/15/17,3:17:00
787,CIT - Global Infrastructure,30044,awestfall,vidyo,tool/service,14,5/15/17,3:17:00
790,CIT - Application Projects,29042,jhoule,functional,type of work,24,3/23/17,7:11:00
790,CIT - Application Projects,29042,jhoule,veeam,tool/service,24,3/23/17,7:11:00
792,CIT - Application Projects,29527,jevans,corp_nas,tool/service,3,4/19/17,7:54:00
792,CIT - Application Projects,29527,jevans,dpm,tool/service,3,4/19/17,7:54:00
792,CIT - Application Projects,29527,jevans,fileserver,tool/service,3,4/19/17,7:54:00
792,CIT - Application Projects,29527,jevans,functional,type of work,3,4/19/17,7:54:00
793,CIT - Application Projects,28646,jevans,evaluation,"theme; anything related to evaluating new tools, hardware, software, etc.",30,3/3/17,8:01:00
793,CIT - Application Projects,28646,jevans,functional,type of work,30,3/3/17,8:01:00
793,CIT - Application Projects,28646,jevans,office365,tool/service,30,3/3/17,8:01:00
797,CIT - Global Infrastructure,27867,awestfall,functional,type of work,2,1/9/17,8:10:00
797,CIT - Global Infrastructure,27867,awestfall,monitoring,"theme; anything related to monitoring efforts, management, systems, etc.",2,1/9/17,8:10:00
797,CIT - Global Infrastructure,27867,awestfall,networking,tool/service,2,1/9/17,8:10:00
798,CIT - Global Infrastructure,27771,smeltzer,AMS1,data center,8,1/3/17,5:38:00
798,CIT - Global Infrastructure,27771,smeltzer,break/fix,type of work,8,1/3/17,5:38:00
798,CIT - Global Infrastructure,27771,smeltzer,vpn,tool/service,8,1/3/17,5:38:00
799,CIT - Global Infrastructure,28042,tpenn,functional,type of work,0.166666667,1/18/17,3:26:00
799,CIT - Global Infrastructure,28042,tpenn,kace,tool/service,0.166666667,1/18/17,3:26:00
799,CIT - Global Infrastructure,28042,tpenn,laptop_management,theme; anything related to managing/securing laptops. should usually have another component as well for the specific tool/service that's being worked on.,0.166666667,1/18/17,3:26:00
799,CIT - Global Infrastructure,28042,tpenn,NYM2,data center,0.166666667,1/18/17,3:26:00
802,CIT - Global Infrastructure,28033,awestfall,esxi,tool/service,1.5,1/17/17,7:30:00
802,CIT - Global Infrastructure,28033,awestfall,functional,type of work,1.5,1/17/17,7:30:00
802,CIT - Global Infrastructure,28033,awestfall,monitoring,"theme; anything related to monitoring efforts, management, systems, etc.",1.5,1/17/17,7:30:00
802,CIT - Global Infrastructure,29719,smeltzer,esxi,tool/service,1,4/27/17,8:43:00
802,CIT - Global Infrastructure,29719,smeltzer,functional,type of work,1,4/27/17,8:43:00
802,CIT - Global Infrastructure,29719,smeltzer,monitoring,"theme; anything related to monitoring efforts, management, systems, etc.",1,4/27/17,8:43:00
803,CIT - Application Projects,29151,kyang,crucible,tool/service,3,3/31/17,8:42:00
803,CIT - Application Projects,29151,kyang,functional,type of work,3,3/31/17,8:42:00
803,CIT - Application Projects,29268,kyang,crucible,tool/service,1,4/7/17,8:09:00
803,CIT - Application Projects,29268,kyang,functional,type of work,1,4/7/17,8:09:00
803,CIT - Application Projects,29269,kyang,crucible,tool/service,1,4/7/17,8:09:00
803,CIT - Application Projects,29269,kyang,functional,type of work,1,4/7/17,8:09:00
803,CIT - Application Projects,29731,kyang,crucible,tool/service,8,4/28/17,8:28:00
803,CIT - Application Projects,29731,kyang,functional,type of work,8,4/28/17,8:28:00
803,CIT - Application Projects,29798,kyang,crucible,tool/service,6,5/3/17,9:32:00
803,CIT - Application Projects,29798,kyang,functional,type of work,6,5/3/17,9:32:00
803,CIT - Application Projects,30240,kyang,crucible,tool/service,2,5/25/17,9:16:00
803,CIT - Application Projects,30240,kyang,functional,type of work,2,5/25/17,9:16:00
803,CIT - Global Infrastructure,28317,smeltzer,DEN2,data center,1,2/8/17,5:33:00
803,CIT - Global Infrastructure,28317,smeltzer,functional,type of work,1,2/8/17,5:33:00
803,CIT - Global Infrastructure,28317,smeltzer,networking,tool/service,1,2/8/17,5:33:00
803,CIT - Global Infrastructure,28317,smeltzer,vpn,tool/service,1,2/8/17,5:33:00
803,CIT - Global Infrastructure,30517,smeltzer,DEN2,data center,4,6/13/17,8:19:00
803,CIT - Global Infrastructure,30517,smeltzer,functional,type of work,4,6/13/17,8:19:00
803,CIT - Global Infrastructure,30517,smeltzer,networking,tool/service,4,6/13/17,8:19:00
803,CIT - Global Infrastructure,30517,smeltzer,vpn,tool/service,4,6/13/17,8:19:00
805,CIT - Global Infrastructure,28106,awestfall,functional,type of work,5,1/20/17,7:01:00
805,CIT - Global Infrastructure,28106,awestfall,wifi,tool/service,5,1/20/17,7:01:00
806,CIT - Application Projects,27907,kyang,functional,type of work,3,1/11/17,5:27:00
806,CIT - Application Projects,27907,kyang,puppet,tool/service,3,1/11/17,5:27:00
806,CIT - Global Infrastructure,28912,sblack,functional,type of work,0.016666667,3/14/17,4:15:00
806,CIT - Global Infrastructure,28912,sblack,HAM1,office,0.016666667,3/14/17,4:15:00
807,CIT - Global Infrastructure,28923,sblack,functional,type of work,0.016666667,3/14/17,4:17:00
807,CIT - Global Infrastructure,28923,sblack,LHR2,office,0.016666667,3/14/17,4:17:00
808,CIT - Application Projects,29374,sblack,functional,type of work,0.5,4/17/17,8:31:00
808,CIT - Application Projects,29374,sblack,term_portal,tool/service,0.5,4/17/17,8:31:00
808,CIT - Application Projects,30131,jhoule,functional,type of work,40,5/18/17,6:52:00
808,CIT - Application Projects,30131,jhoule,term_portal,tool/service,40,5/18/17,6:52:00
808,CIT - Global Infrastructure,30866,sblack,crashplan,tool/service,0.016666667,7/5/17,6:40:00
808,CIT - Global Infrastructure,30866,sblack,functional,type of work,0.016666667,7/5/17,6:40:00
809,CIT - Application Projects,30130,jhoule,functional,type of work,8,5/18/17,6:51:00
809,CIT - Application Projects,30130,jhoule,term_portal,tool/service,8,5/18/17,6:51:00
809,CIT - Global Infrastructure,28916,sblack,functional,type of work,0.016666667,3/14/17,4:15:00
809,CIT - Global Infrastructure,28916,sblack,NYC2,office,0.016666667,3/14/17,4:15:00
810,CIT - Global Infrastructure,28922,sblack,CDG1,office,0.016666667,3/14/17,4:17:00
810,CIT - Global Infrastructure,28922,sblack,functional,type of work,0.016666667,3/14/17,4:17:00
811,CIT - Global Infrastructure,28918,sblack,functional,type of work,0.016666667,3/14/17,4:16:00
811,CIT - Global Infrastructure,28918,sblack,PDX1,office,0.016666667,3/14/17,4:16:00
812,CIT - Global Infrastructure,28925,sblack,DEN1,office,0.016666667,3/14/17,4:18:00
812,CIT - Global Infrastructure,28925,sblack,functional,type of work,0.016666667,3/14/17,4:18:00
813,CIT - Global Infrastructure,28917,sblack,EUG1,office,0.016666667,3/14/17,4:15:00
813,CIT - Global Infrastructure,28917,sblack,functional,type of work,0.016666667,3/14/17,4:15:00
814,CIT - Global Infrastructure,28934,sblack,functional,type of work,0.016666667,3/14/17,4:20:00
814,CIT - Global Infrastructure,28934,sblack,PHL1,office,0.016666667,3/14/17,4:20:00
815,CIT - Global Infrastructure,28926,sblack,functional,type of work,0.016666667,3/14/17,4:18:00
815,CIT - Global Infrastructure,28926,sblack,GRU1,office,0.016666667,3/14/17,4:18:00
816,CIT - Global Infrastructure,28909,sblack,functional,type of work,0.016666667,3/14/17,4:14:00
816,CIT - Global Infrastructure,28909,sblack,QLS1,office,0.016666667,3/14/17,4:14:00
817,CIT - Global Infrastructure,28932,sblack,functional,type of work,0.016666667,3/14/17,4:19:00
817,CIT - Global Infrastructure,28932,sblack,SEA1,office,0.016666667,3/14/17,4:19:00
818,CIT - Global Infrastructure,28924,sblack,functional,type of work,0.016666667,3/14/17,4:17:00
818,CIT - Global Infrastructure,28924,sblack,SFO1,office,0.016666667,3/14/17,4:17:00
819,CIT - Global Infrastructure,28936,sblack,functional,type of work,0.016666667,3/14/17,4:21:00
819,CIT - Global Infrastructure,28936,sblack,VNY1,office,0.016666667,3/14/17,4:21:00
820,CIT - Global Infrastructure,27781,tpenn,active_directory,tool/service,1.5,1/3/17,6:58:00
820,CIT - Global Infrastructure,27781,tpenn,automation,"theme; anything automation related. System, configuration, network management, etc. should usually have another component as well for the specific tool/service that's being worked on.",1.5,1/3/17,6:58:00
820,CIT - Global Infrastructure,27781,tpenn,break/fix,type of work,1.5,1/3/17,6:58:00
820,CIT - Global Infrastructure,27781,tpenn,windows,"tool/service; used when the work being done is specifically related to the system being Windows, not related to the application running on it",1.5,1/3/17,6:58:00
820,CIT - Global Infrastructure,27788,tpenn,active_directory,tool/service,1,1/3/17,8:34:00
820,CIT - Global Infrastructure,27788,tpenn,automation,"theme; anything automation related. System, configuration, network management, etc. should usually have another component as well for the specific tool/service that's being worked on.",1,1/3/17,8:34:00
820,CIT - Global Infrastructure,27788,tpenn,break/fix,type of work,1,1/3/17,8:34:00
820,CIT - Global Infrastructure,27788,tpenn,windows,"tool/service; used when the work being done is specifically related to the system being Windows, not related to the application running on it",1,1/3/17,8:34:00
821,CIT - Global Infrastructure,28200,tpenn,fileserver,tool/service,1.5,1/30/17,5:41:00
821,CIT - Global Infrastructure,28200,tpenn,functional,type of work,1.5,1/30/17,5:41:00
821,CIT - Global Infrastructure,28200,tpenn,GRU1,office,1.5,1/30/17,5:41:00
821,CIT - Global Infrastructure,28284,tpenn,fileserver,tool/service,2,2/6/17,7:33:00
821,CIT - Global Infrastructure,28284,tpenn,functional,type of work,2,2/6/17,7:33:00
821,CIT - Global Infrastructure,28284,tpenn,GRU1,office,2,2/6/17,7:33:00
822,CIT - Global Infrastructure,28285,tpenn,fileserver,tool/service,3,2/6/17,7:36:00
822,CIT - Global Infrastructure,28285,tpenn,functional,type of work,3,2/6/17,7:36:00
822,CIT - Global Infrastructure,28285,tpenn,GRU1,office,3,2/6/17,7:36:00
822,CIT - Global Infrastructure,28310,tpenn,fileserver,tool/service,3,2/7/17,10:28:00
822,CIT - Global Infrastructure,28310,tpenn,functional,type of work,3,2/7/17,10:28:00
822,CIT - Global Infrastructure,28310,tpenn,GRU1,office,3,2/7/17,10:28:00
822,CIT - Global Infrastructure,28322,tpenn,fileserver,tool/service,1,2/8/17,8:26:00
822,CIT - Global Infrastructure,28322,tpenn,functional,type of work,1,2/8/17,8:26:00
822,CIT - Global Infrastructure,28322,tpenn,GRU1,office,1,2/8/17,8:26:00
822,CIT - Global Infrastructure,28349,tpenn,fileserver,tool/service,5,2/12/17,11:44:00
822,CIT - Global Infrastructure,28349,tpenn,functional,type of work,5,2/12/17,11:44:00
822,CIT - Global Infrastructure,28349,tpenn,GRU1,office,5,2/12/17,11:44:00
822,CIT - Global Infrastructure,28361,tpenn,fileserver,tool/service,4,2/13/17,8:03:00
822,CIT - Global Infrastructure,28361,tpenn,functional,type of work,4,2/13/17,8:03:00
822,CIT - Global Infrastructure,28361,tpenn,GRU1,office,4,2/13/17,8:03:00
823,CIT - Global Infrastructure,28975,tpenn,fileserver,tool/service,2,3/16/17,8:07:00
823,CIT - Global Infrastructure,28975,tpenn,functional,type of work,2,3/16/17,8:07:00
823,CIT - Global Infrastructure,28975,tpenn,GRU1,office,2,3/16/17,8:07:00
823,CIT - Global Infrastructure,28978,tpenn,fileserver,tool/service,0.5,3/16/17,9:37:00
823,CIT - Global Infrastructure,28978,tpenn,functional,type of work,0.5,3/16/17,9:37:00
823,CIT - Global Infrastructure,28978,tpenn,GRU1,office,0.5,3/16/17,9:37:00
823,CIT - Global Infrastructure,29035,tpenn,fileserver,tool/service,1,3/22/17,9:09:00
823,CIT - Global Infrastructure,29035,tpenn,functional,type of work,1,3/22/17,9:09:00
823,CIT - Global Infrastructure,29035,tpenn,GRU1,office,1,3/22/17,9:09:00
823,CIT - Global Infrastructure,29127,tpenn,fileserver,tool/service,2,3/30/17,8:36:00
823,CIT - Global Infrastructure,29127,tpenn,functional,type of work,2,3/30/17,8:36:00
823,CIT - Global Infrastructure,29127,tpenn,GRU1,office,2,3/30/17,8:36:00
823,CIT - Global Infrastructure,29152,tpenn,fileserver,tool/service,1,3/31/17,9:15:00
823,CIT - Global Infrastructure,29152,tpenn,functional,type of work,1,3/31/17,9:15:00
823,CIT - Global Infrastructure,29152,tpenn,GRU1,office,1,3/31/17,9:15:00
824,CIT - Global Infrastructure,28374,tpenn,functional,type of work,10,2/14/17,4:56:00
824,CIT - Global Infrastructure,28374,tpenn,wifi,tool/service,10,2/14/17,4:56:00
824,CIT - Global Infrastructure,28632,tpenn,functional,type of work,5,3/3/17,3:56:00
824,CIT - Global Infrastructure,28632,tpenn,wifi,tool/service,5,3/3/17,3:56:00
825,CIT - Application Projects,28549,jevans,functional,type of work,0.25,2/23/17,9:45:00
825,CIT - Application Projects,28549,jevans,jira,tool/service,0.25,2/23/17,9:45:00
826,CIT - Application Projects,28548,jevans,functional,type of work,4,2/23/17,9:26:00
826,CIT - Application Projects,28548,jevans,jira,tool/service,4,2/23/17,9:26:00
826,CIT - Global Infrastructure,27831,awestfall,esxi,tool/service,2,1/5/17,7:42:00
826,CIT - Global Infrastructure,27831,awestfall,functional,type of work,2,1/5/17,7:42:00
826,CIT - Global Infrastructure,27831,awestfall,GRU1,office,2,1/5/17,7:42:00
826,CIT - Global Infrastructure,27831,awestfall,kace,tool/service,2,1/5/17,7:42:00
826,CIT - Global Infrastructure,27832,tpenn,esxi,tool/service,0.5,1/5/17,7:42:00
826,CIT - Global Infrastructure,27832,tpenn,functional,type of work,0.5,1/5/17,7:42:00
826,CIT - Global Infrastructure,27832,tpenn,GRU1,office,0.5,1/5/17,7:42:00
826,CIT - Global Infrastructure,27832,tpenn,kace,tool/service,0.5,1/5/17,7:42:00
826,CIT - Global Infrastructure,28010,awestfall,esxi,tool/service,1,1/13/17,5:47:00
826,CIT - Global Infrastructure,28010,awestfall,functional,type of work,1,1/13/17,5:47:00
826,CIT - Global Infrastructure,28010,awestfall,GRU1,office,1,1/13/17,5:47:00
826,CIT - Global Infrastructure,28010,awestfall,kace,tool/service,1,1/13/17,5:47:00
827,CIT - Global Infrastructure,28079,awestfall,EUG1,office,0.5,1/19/17,8:36:00
827,CIT - Global Infrastructure,28079,awestfall,functional,type of work,0.5,1/19/17,8:36:00
827,CIT - Global Infrastructure,28079,awestfall,opengear,tool/service,0.5,1/19/17,8:36:00
827,CIT - Global Infrastructure,30194,awestfall,EUG1,office,2,5/23/17,8:16:00
827,CIT - Global Infrastructure,30194,awestfall,functional,type of work,2,5/23/17,8:16:00
827,CIT - Global Infrastructure,30194,awestfall,opengear,tool/service,2,5/23/17,8:16:00
829,CIT - Application Projects,30555,jhoule,check_mk,tool/service,1,6/14/17,5:49:00
829,CIT - Application Projects,30555,jhoule,functional,type of work,1,6/14/17,5:49:00
830,CIT - Application Projects,30796,jhoule,functional,type of work,0.016666667,6/28/17,3:00:00
830,CIT - Application Projects,30796,jhoule,veeam,tool/service,0.016666667,6/28/17,3:00:00
830,CIT - Global Infrastructure,28076,awestfall,DEN1,office,3,1/19/17,7:27:00
830,CIT - Global Infrastructure,28076,awestfall,functional,type of work,3,1/19/17,7:27:00
830,CIT - Global Infrastructure,28076,awestfall,opengear,tool/service,3,1/19/17,7:27:00
831,CIT - Application Projects,27861,kyang,check_mk,tool/service,2,1/9/17,5:02:00
831,CIT - Application Projects,27861,kyang,functional,type of work,2,1/9/17,5:02:00
831,CIT - Application Projects,28217,kyang,check_mk,tool/service,20,1/31/17,7:48:00
831,CIT - Application Projects,28217,kyang,functional,type of work,20,1/31/17,7:48:00
831,CIT - Application Projects,28295,kyang,check_mk,tool/service,1.5,2/6/17,9:48:00
831,CIT - Application Projects,28295,kyang,functional,type of work,1.5,2/6/17,9:48:00
831,CIT - Global Infrastructure,27931,tpenn,esxi,tool/service,2,1/13/17,12:41:00
831,CIT - Global Infrastructure,27931,tpenn,functional,type of work,2,1/13/17,12:41:00
831,CIT - Global Infrastructure,27931,tpenn,monitoring,"theme; anything related to monitoring efforts, management, systems, etc.",2,1/13/17,12:41:00
831,CIT - Global Infrastructure,28013,tpenn,esxi,tool/service,0.5,1/13/17,7:23:00
831,CIT - Global Infrastructure,28013,tpenn,functional,type of work,0.5,1/13/17,7:23:00
831,CIT - Global Infrastructure,28013,tpenn,monitoring,"theme; anything related to monitoring efforts, management, systems, etc.",0.5,1/13/17,7:23:00
831,CIT - Global Infrastructure,28108,awestfall,esxi,tool/service,1,1/20/17,8:41:00
831,CIT - Global Infrastructure,28108,awestfall,functional,type of work,1,1/20/17,8:41:00
831,CIT - Global Infrastructure,28108,awestfall,monitoring,"theme; anything related to monitoring efforts, management, systems, etc.",1,1/20/17,8:41:00
831,CIT - Global Infrastructure,28197,tpenn,esxi,tool/service,1,1/30/17,2:39:00
831,CIT - Global Infrastructure,28197,tpenn,functional,type of work,1,1/30/17,2:39:00
831,CIT - Global Infrastructure,28197,tpenn,monitoring,"theme; anything related to monitoring efforts, management, systems, etc.",1,1/30/17,2:39:00
832,CIT - Global Infrastructure,27835,tpenn,automation,"theme; anything automation related. System, configuration, network management, etc. should usually have another component as well for the specific tool/service that's being worked on.",2,1/6/17,1:22:00
832,CIT - Global Infrastructure,27835,tpenn,esxi,tool/service,2,1/6/17,1:22:00
832,CIT - Global Infrastructure,27835,tpenn,functional,type of work,2,1/6/17,1:22:00
832,CIT - Global Infrastructure,27848,tpenn,automation,"theme; anything automation related. System, configuration, network management, etc. should usually have another component as well for the specific tool/service that's being worked on.",2.5,1/6/17,9:18:00
832,CIT - Global Infrastructure,27848,tpenn,esxi,tool/service,2.5,1/6/17,9:18:00
832,CIT - Global Infrastructure,27848,tpenn,functional,type of work,2.5,1/6/17,9:18:00
